close,regime,returns,date,sma_10,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_diff,bb_middle,bb_upper,bb_lower,open,high,low,volume
10031.194008221746,BULL,0.0031194008221746674,2025-01-01,10031.194008221746,10031.194008221746,10031.194008221746,10031.194008221746,0.0,0.0,0.0,0.0,10031.194008221746,,,10037.355340044916,10066.326374656202,9896.236205121975,1059006641.951066
10053.241698128557,BULL,0.0021979128196245134,2025-01-02,10042.217853175152,10042.217853175152,10042.217853175152,10042.217853175152,99.99999999909288,1.758790078036327,0.35175801560726544,1.4070320624290615,10042.217853175152,10073.397995260359,10011.037711089946,10002.5399831489,10142.837891969895,9991.696750397949,1574598520.76972
10093.21717448813,BULL,0.003976376731001772,2025-01-03,10059.217626946143,10059.217626946143,10059.217626946143,10059.217626946143,99.9999999995163,6.305643209705522,1.542535054426917,4.763108155278605,10059.217626946143,10122.098532866828,9996.336721025458,10079.222118563664,10125.47839462911,9940.65457557776,1480366600.2209299
10113.71552446532,BULL,0.0020309034892264997,2025-01-04,10072.84210132594,10072.84210132594,10072.84210132594,10072.84210132594,99.99999999951528,11.431329357088543,3.5202939149592423,7.911035442129301,10072.84210132594,10147.715503725909,9997.96869892597,10149.880269840756,10199.107320237545,10081.847172863756,1251845781.0082536
10145.819102865475,BULL,0.0031742615582271753,2025-01-05,10087.437501633845,10087.437501633845,10087.437501633845,10087.437501633845,99.9999999995638,17.877877984741644,6.391810728915724,11.48606725582592,10087.437501633845,10179.443120990338,9995.431882277353,10189.049366908193,10236.716000066319,10051.819927796463,1565598656.201525
10160.163620020876,BULL,0.0014138352960925402,2025-01-06,10099.558521365017,10099.558521365017,10099.558521365017,10099.558521365017,99.99999999953478,23.869148187070095,9.887278220546598,13.981869966523497,10099.558521365017,10201.038007263895,9998.07903546614,10223.73863006567,10306.01156704164,10136.931082223691,1409231184.2629464
10204.71811102978,BULL,0.004385213927176258,2025-01-07,10114.581319888555,10114.581319888555,10114.581319888555,10114.581319888555,99.9999999995966,31.845354629069334,14.278893502251146,17.56646112681819,10114.581319888555,10236.650577670041,9992.51206210707,10302.143506542767,10310.908470511322,10028.188182450273,1327481120.2043567
10223.866554892027,BULL,0.001876430456373854,2025-01-08,10128.241974263989,10128.241974263989,10128.241974263989,10128.241974263989,99.99999999958479,39.259120387405346,19.274938879281986,19.98418150812336,10128.241974263989,10265.150098428707,9991.33385009927,10265.267556636503,10286.097577133663,10072.858526321957,1178032534.9858587
10241.337330733844,BULL,0.0017088227578105119,2025-01-09,10140.808124982861,10140.808124982861,10140.808124982861,10140.808124982861,99.99999999957173,46.01390906422421,24.62273291627043,21.39117614795378,10140.808124982861,10289.420198296348,9992.196051669374,10230.238971954339,10263.90430488419,10111.173546133976,966891758.6232724
10266.692866138319,BULL,0.0024758031676570405,2025-01-10,10153.396599098407,10153.396599098407,10153.396599098407,10153.396599098407,99.99999999957537,52.804411175886344,30.259068568193612,22.54534260769273,10153.396599098407,10314.549897984578,9992.243300212236,10310.804419983802,10472.670277881536,10078.645831704696,1550208670.3498278
10308.672993344782,BULL,0.004088962994590141,2025-01-11,10181.144497610712,10167.512634938988,10167.512634938988,10167.512634938988,99.99999999960357,60.87168752285106,36.3815923591251,24.49009516372596,10167.512634938988,10346.791456201336,9988.233813676641,10332.729118530006,10339.821198818996,10233.08309268293,1173145439.5765014
10319.197446443348,BULL,0.0010209318993202486,2025-01-12,10207.740072442191,10180.153035897683,10180.153035897683,10180.153035897683,99.99999999958334,67.33806624673707,42.572887136647495,24.765179110089576,10180.153035897683,10372.216628195458,9988.089443599909,10345.32395055061,10411.454422905961,10250.079115420593,1367446818.2290719
10353.552336830668,BULL,0.0033292211497668654,2025-01-13,10233.773588676444,10193.49144366176,10193.49144366176,10193.49144366176,99.99999999959672,74.37749306988917,48.93380832329583,25.44368474659334,10193.49144366176,10401.014624350564,9985.968262972956,10362.726556662214,10455.047011069479,10262.88383707997,1696086023.66781
